,Ref ID,Gender,Age_Group,City,Smart_Phone,Tablet,Commuting_Mode,Commuting_Time,No_of_Books_read_in_a_year,Start_Time_Slots,Event_Duration_Minutes_2_Weeks,Event_Duration_Minutes_3_Weeks,Event_Duration_Minutes_5_Weeks,Device_Type,Product_Running_Time,Completion_Rate_2_Weeks,Completion_Rate_5_Weeks,Genre,Subscription_Type,Membership_Duration,Average_Listening_Speed,Number_of_Audiobooks_Completed,Number_of_Audiobooks_Completed_Buckets,Number_of_Audiobooks_Purchased,Number_of_Audiobooks_Purchased_Buckets,Preferred_Listening_Time,Listening_Context,Listening_Device_Preference,Language_Preference,Accessibility_Features_Use,Download_vs_Streaming,Time_Spent_Browsing,Time_Spent_Browsing_Buckets,Genre_Exploration,Product_Name,Publisher_Name,Product_Narrator,Repeat_Listening,Ratings_Given,Reviews_Written,Recommendations_Followed,Social_Sharing
1253,4375,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,90,3,Afternoon_Early_Evening,0.0,0.0,1.0,Audible for Android,356,0.0,0.0,Literature & Fiction,Yearly,21,1.5x,36,31 - 60 Books,27,11- 30 Books,Morning,Commuting,PC,Spanish,True,Download,76,61 - 100 Minutes,3,Star Wars (Dramatized),"HighBridge, a division of Recorded Books","Mark Hamill, Anthony Daniels",True,1,True,True,True
1254,4377,Male,18 - 24 years,Bangalore,IOS,Both,Others,38,5,Afternoon_Early_Evening,2.0,0.0,2.0,Audible for Android,14,14.000000000000002,14.000000000000002,Children's Audiobooks,Monthly,41,1.5x,58,31 - 60 Books,97,61 - 100 Books,Evening,Relaxing,PC,German,False,Download,80,61 - 100 Minutes,1,Rapunzel (Unabridged),"PC Treasures, Inc.",Nigel Lambert,True,5,True,True,True
1255,4379,Female,36 - 40 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Late_Evening_Night,0.0,0.0,1.0,Audible for Android,375,0.0,0.0,Literature & Fiction,Per-book,53,2x,22,11- 30 Books,64,61 - 100 Books,Night,Relaxing,Smart Speaker,Spanish,False,Streaming,15,11- 30 Minutes,7,Interpreter of Maladies (Unabridged),"HighBridge, a division of Recorded Books",Matilda Novak,True,5,False,False,False
1256,4386,Female,18 - 24 years,Hyderabad,Android,No Tablet,walk,15,5,Late_Night_Early_Morning,1.0,1.0,1.0,Audible for Android,176,1.0,1.0,Mysteries & Thrillers,Yearly,31,1.5x,80,61 - 100 Books,98,61 - 100 Books,Morning,Relaxing,Tablet,Spanish,False,Streaming,19,11- 30 Minutes,6,Sherlock Holmes: The Valley of Fear (Unabridged),"Audio Holdings, LLC",Christopher Lee,False,2,True,False,False
1257,4387,Female,31 - 35 years,Bangalore,Android,Android Tablet,Personal/Hired/Shared 4 Wheeler,38,5,Late_Evening_Night,1.0,1.0,1.0,Audible for Android,199,1.0,1.0,Mysteries & Thrillers,Monthly,36,1.25x,5,Less than 10,48,31 - 60 Books,Night,Commuting,PC,Other,True,Download,22,11- 30 Minutes,1,The Maltese Falcon (Dramatized),"Blackstone Audio, Inc.","Michael Madsen, Sandra Oh, Edward Herrmann",True,1,False,True,False
1258,4388,Male,25 - 30 years,Bangalore,Android,No Tablet,Public Transport,38,3,Late_Evening_Night,1.0,1.0,1.0,Audible for Android,375,0.0,0.0,Literature & Fiction,Yearly,14,1x,66,61 - 100 Books,46,31 - 60 Books,Afternoon,Commuting,Smart Speaker,German,True,Streaming,81,61 - 100 Minutes,1,Interpreter of Maladies (Unabridged),"HighBridge, a division of Recorded Books",Matilda Novak,True,4,False,False,False
1259,4391,Female,36 - 40 years,Bangalore,Android,IOS Tablet,Personal/Hired/Shared 4 Wheeler,38,13,Morning,17.0,1.0,18.0,Audible for Android,1258,1.0,1.0,Literature & Fiction,Yearly,21,1.75x,66,61 - 100 Books,47,31 - 60 Books,Afternoon,Commuting,Smartphone,French,True,Streaming,112,More than 100 Minutes,4,To Say Nothing of the Dog: Or How We Found the Bishop's Bird Stump at Last (Unabridged),Recorded Books,Steven Crossley,False,2,True,False,True
1260,4394,Male,25 - 30 years,Chennai,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,13,Afternoon_Early_Evening,1.0,3.0,5.0,Audible for Android,108,1.0,5.0,Arts & Entertainment,Monthly,27,1x,64,61 - 100 Books,88,61 - 100 Books,Afternoon,Exercising,PC,Spanish,True,Download,63,61 - 100 Minutes,8,"The Best of Sherlock Holmes, Volume 2 (Dramatised)",Heritage Media Limited,John Gielgud and Ralph Richardson,True,1,False,False,False
1261,4395,Male,25 - 30 years,Hyderabad,Android,Android Tablet,Personal/Hired/Shared 4 Wheeler,90,5,Afternoon_Early_Evening,7.0,7.0,14.0,Audible for Android,211,3.0,7.000000000000001,Literature & Fiction,Yearly,3,1.25x,22,11- 30 Books,40,31 - 60 Books,Evening,Working,Smart Speaker,French,False,Streaming,23,11- 30 Minutes,4,Flatland: A Romance of Many Dimensions (Unabridged),Tantor Audio,James Langton,True,5,False,False,False
1262,4402,Female,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,5,Afternoon_Early_Evening,1.0,1.0,2.0,Audible for Android,565,0.0,0.0,Literature & Fiction,Monthly,40,1.5x,44,31 - 60 Books,17,11- 30 Books,Evening,Commuting,Tablet,Other,False,Download,38,31 - 60 Minutes,5,Play with Me (Unabridged),Audible Studios,Jennifer Mack,True,4,False,False,False
1263,4403,Male,18 - 24 years,Hyderabad,Android,IOS Tablet,Public Transport,38,9,Afternoon_Early_Evening,0.0,0.0,1.0,Audible for Android,38,0.0,3.0,Arts & Entertainment,Yearly,50,1.5x,33,31 - 60 Books,47,31 - 60 Books,Night,Working,Tablet,French,False,Download,65,61 - 100 Minutes,1,Leadership Lessons of Steve Jobs (Unabridged),Harvard Business School,Todd Mundt,False,2,True,True,False
1264,4404,Female,25 - 30 years,Chennai,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,1,Late_Evening_Night,1.0,1.0,3.0,Audible for Android,34,3.0,9.0,Parenting & Relationships,Monthly,20,1.25x,10,Less than 10,38,31 - 60 Books,Evening,Working,Smart Speaker,German,False,Download,90,61 - 100 Minutes,8,The Pursuit of Happiness,OSHO International,OSHO,True,4,True,False,True
1265,4411,Male,18 - 24 years,Hyderabad,Both,IOS Tablet,Personal/Hired/Shared 4 Wheeler,38,13,Morning,2.0,2.0,3.0,Audible for Android,292,1.0,1.0,Religion & Spirituality,Per-book,2,1x,57,31 - 60 Books,78,61 - 100 Books,Evening,Relaxing,Smart Speaker,English,True,Streaming,89,61 - 100 Minutes,8,What Makes You Not a Buddhist (Unabridged),Audible Studios,Tom Pile,False,5,False,True,False
1266,4412,Female,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Late_Evening_Night,0.0,0.0,1.0,Audible for Android,742,0.0,0.0,Business & Money,Monthly,7,1x,62,61 - 100 Books,80,61 - 100 Books,Night,Working,Smart Speaker,Spanish,True,Download,13,11- 30 Minutes,4,The New Confessions of an Economic Hit Man (Unabridged),"Blackstone Audio, Inc.",Tom Taylorson,True,3,True,False,False
1267,4416,Male,18 - 24 years,Chennai,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,3,Late_Evening_Night,2.0,2.0,4.0,Audible for Android,176,1.0,2.0,Mysteries & Thrillers,Monthly,22,1.25x,99,61 - 100 Books,46,31 - 60 Books,Afternoon,Commuting,Smartphone,Spanish,False,Streaming,15,11- 30 Minutes,3,Sherlock Holmes: The Valley of Fear (Unabridged),"Audio Holdings, LLC",Christopher Lee,False,5,True,False,True
1268,4419,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,90,3,Late_Evening_Night,38.0,4.0,42.0,Audible for Android,244,16.0,17.0,Religion & Spirituality,Yearly,23,1.5x,36,31 - 60 Books,8,Less than 10,Afternoon,Working,PC,German,True,Download,48,31 - 60 Minutes,3,7 Secrets of Shiva. The Hindu Trinity Series (Unabridged),Audible Studios,Sagar Arya,False,2,False,True,True
1269,4421,Male,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,90,13,Late_Night_Early_Morning,1.0,1.0,2.0,Audible for Android,490,0.0,0.0,Literature & Fiction,Per-book,23,1.5x,56,31 - 60 Books,36,31 - 60 Books,Afternoon,Commuting,Smartphone,German,False,Streaming,111,More than 100 Minutes,7,The Secret Garden (Unabridged),"Blackstone Audio, Inc.",Johanna Ward,False,5,False,False,True
1270,4425,Male,31 - 35 years,Chennai,Android,IOS Tablet,Personal/Hired/Shared 4 Wheeler,38,5,Morning,13.0,3.0,16.0,Audible for Android,695,2.0,2.0,Literature & Fiction,Monthly,29,2x,81,61 - 100 Books,54,31 - 60 Books,Night,Working,Smartphone,German,False,Download,56,31 - 60 Minutes,9,Pride and Prejudice (Unabridged),Audible Studios,Rosamund Pike,True,5,False,True,True
1271,4428,Male,31 - 35 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,38,5,Morning,12.0,12.0,23.0,Audible for iPhone (1000),536,2.0,4.0,Business & Money,Yearly,42,1.25x,96,61 - 100 Books,25,11- 30 Books,Night,Exercising,Tablet,Other,True,Download,76,61 - 100 Minutes,8,The Sharing Economy: The End of Employment and the Rise of Crowd-Based Capitalism (Unabridged),Tantor Audio,Vikas Adam,False,4,True,False,False
1272,4432,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,3,Late_Evening_Night,1.0,1.0,2.0,Audible for Android,160,1.0,1.0,Parenting & Relationships,Yearly,8,1.25x,0,Less than 10,73,61 - 100 Books,Afternoon,Relaxing,Smart Speaker,English,True,Download,61,61 - 100 Minutes,2,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Unabridged),"Blackstone Audio, Inc.",Brian Tracy,False,1,True,True,True
1273,4439,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,9,Morning,1.0,1.0,2.0,Audible for Android,372,0.0,1.0,Biographies & Memoirs,Monthly,26,1.75x,80,61 - 100 Books,93,61 - 100 Books,Evening,Exercising,Smart Speaker,French,False,Streaming,7,Less than 10 Minutes,5,What Do You Care What Other People Think?: Further Adventures of a Curious Character (Unabridged),"Blackstone Audio, Inc.",Raymond Todd,True,4,False,True,False
1274,4443,Male,41 - 45 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,38,3,Late_Evening_Night,1.0,1.0,2.0,Audible for iPhone (1000),2167,0.0,0.0,Literature & Fiction,Monthly,56,1x,33,31 - 60 Books,20,11- 30 Books,Night,Relaxing,Smartphone,French,False,Streaming,80,61 - 100 Minutes,3,Don Quixote (Unabridged),"Blackstone Audio, Inc.",Robert Whitfield,False,3,False,True,False
1275,4444,Male,18 - 24 years,Hyderabad,Both,IOS Tablet,Personal/Hired/Shared 4 Wheeler,38,3,Late_Evening_Night,1.0,1.0,2.0,Audible for Android,244,0.0,1.0,Religion & Spirituality,Monthly,36,1.75x,53,31 - 60 Books,92,61 - 100 Books,Afternoon,Exercising,PC,English,True,Streaming,99,61 - 100 Minutes,9,7 Secrets of Shiva. The Hindu Trinity Series (Unabridged),Audible Studios,Sagar Arya,False,4,True,False,False
1276,4448,Male,25 - 30 years,Chennai,IOS,No Tablet,Personal/Hired/Shared 2 Wheeler,90,13,Late_Evening_Night,20.0,20.0,40.0,Audible for iPhone (1000),805,2.0,5.0,Education & Teaching,Per-book,7,1.25x,87,61 - 100 Books,14,11- 30 Books,Morning,Exercising,Tablet,German,False,Download,73,61 - 100 Minutes,5,"The Big Fat Surprise: Why Butter, Meat, and Cheese Belong in a Healthy Diet (Unabridged)","Blackstone Audio, Inc.",Erin Bennett,True,1,True,True,False
1277,4449,Male,18 - 24 years,Other,IOS,No Tablet,walk,38,9,Afternoon_Early_Evening,0.0,0.0,1.0,Audible for iPhone (1000),1988,0.0,0.0,Literature & Fiction,Yearly,48,2x,17,11- 30 Books,2,Less than 10,Afternoon,Exercising,Smartphone,French,False,Streaming,41,31 - 60 Minutes,1,The Sialkot Saga (Unabridged),Audible Studios,Sagar Arya,False,2,True,True,False
1278,4456,Female,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,15,13,Late_Evening_Night,12.0,12.0,24.0,Audible for Android,34,35.0,71.0,Parenting & Relationships,Per-book,3,2x,15,11- 30 Books,74,61 - 100 Books,Night,Exercising,Tablet,German,False,Download,67,61 - 100 Minutes,3,The Pursuit of Happiness,OSHO International,OSHO,False,5,True,True,False
1279,4461,Male,18 - 24 years,Hyderabad,Android,No Tablet,3 Wheeler,38,5,Late_Night_Early_Morning,1.0,3.0,4.0,Audible for Android,160,1.0,2.0,Religion & Spirituality,Yearly,14,1.5x,71,61 - 100 Books,21,11- 30 Books,Afternoon,Working,Tablet,French,True,Download,83,61 - 100 Minutes,8,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,False,2,True,False,False
1280,4463,Female,25 - 30 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,90,3,Late_Evening_Night,0.0,7.0,8.0,Audible for iPhone (1000),279,0.0,3.0,Biographies & Memoirs,Monthly,22,1.5x,98,61 - 100 Books,26,11- 30 Books,Morning,Relaxing,Smartphone,French,True,Download,108,More than 100 Minutes,9,Miles to Run Before I Sleep. How an Ordinary Woman Ran an Extraordinary Distance (Unabridged),Audible Studios,Sakuntala Ramanee,True,1,True,False,True
1281,4475,Male,18 - 24 years,Other,IOS,No Tablet,Personal/Hired/Shared 2 Wheeler,38,3,Late_Evening_Night,8.0,4.0,12.0,Audible for iPhone (1000),90,9.0,13.0,Parenting & Relationships,Per-book,48,1.5x,85,61 - 100 Books,75,61 - 100 Books,Morning,Exercising,Tablet,French,True,Download,55,31 - 60 Minutes,2,How to Live on 24 Hours a Day (Unabridged),Audible Studios,Eric Brooks,True,2,False,False,False
1282,4478,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,3,Afternoon_Early_Evening,1.0,1.0,1.0,Audible for Android,160,1.0,1.0,Religion & Spirituality,Monthly,30,2x,24,11- 30 Books,6,Less than 10,Night,Exercising,PC,German,True,Streaming,12,11- 30 Minutes,7,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,False,2,True,False,True
1283,4479,Male,41 - 45 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,38,13,Afternoon_Early_Evening,2.0,2.0,4.0,Audible for iPhone (1000),67,3.0,6.0,Social Sciences,Monthly,3,2x,88,61 - 100 Books,71,61 - 100 Books,Morning,Exercising,PC,Spanish,False,Download,15,11- 30 Minutes,9,The Art of War (Unabridged),Audible Studios,Aidan Gillen,True,1,False,True,False
1284,4482,Male,18 - 24 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,5,Afternoon_Early_Evening,9.0,9.0,18.0,Audible for Android,375,2.0,5.0,Literature & Fiction,Yearly,54,1.25x,25,11- 30 Books,19,11- 30 Books,Evening,Working,Smartphone,English,True,Download,64,61 - 100 Minutes,1,Interpreter of Maladies (Unabridged),"HighBridge, a division of Recorded Books",Matilda Novak,True,2,False,False,True
1285,4487,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,5,Late_Evening_Night,26.0,26.0,52.0,Audible for Android,365,7.000000000000001,14.000000000000002,Parenting & Relationships,Monthly,41,1x,95,61 - 100 Books,6,Less than 10,Morning,Exercising,Smart Speaker,Other,True,Streaming,90,61 - 100 Minutes,4,The Power of Your Subconscious Mind,"Big Happy Family, LLC",Jason McCoy,True,4,True,False,True
1286,4488,Male,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,13,Afternoon_Early_Evening,103.0,103.0,207.0,Audible for Android,625,16.0,33.0,Parenting & Relationships,Monthly,46,1.75x,49,31 - 60 Books,1,Less than 10,Night,Working,Smart Speaker,English,False,Streaming,63,61 - 100 Minutes,6,The Introvert Advantage: How to Thrive in an Extrovert World (Unabridged),"HighBridge, a division of Recorded Books",Tamara Marston,False,2,False,True,True
1287,4489,Male,18 - 24 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,90,13,Morning,2.0,5.0,7.0,Audible for iPhone (1000),453,0.0,2.0,Mysteries & Thrillers,Monthly,28,2x,91,61 - 100 Books,80,61 - 100 Books,Afternoon,Commuting,Smart Speaker,German,True,Streaming,107,More than 100 Minutes,8,No Country for Old Men (Unabridged),Recorded Books,Tom Stechschulte,True,3,True,False,True
1288,4491,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,5,Late_Night_Early_Morning,89.0,23.0,112.0,Audible for Android,1498,6.0,7.000000000000001,Mysteries & Thrillers,Monthly,30,1x,58,31 - 60 Books,85,61 - 100 Books,Night,Exercising,Tablet,Other,False,Download,74,61 - 100 Minutes,1,The Krishna Key (Unabridged),Audible Studios,Nikesh Patel,False,5,True,False,True
1289,4493,Do not wish to answer,18 - 24 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Afternoon_Early_Evening,7.0,7.0,14.0,Audible for iPhone (1000),67,10.0,21.0,Social Sciences,Monthly,56,1.25x,31,31 - 60 Books,80,61 - 100 Books,Night,Relaxing,Smart Speaker,German,True,Download,73,61 - 100 Minutes,2,The Art of War (Unabridged),Audible Studios,Aidan Gillen,True,4,False,True,False
1290,4502,Male,31 - 35 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,90,3,Morning,0.0,0.0,1.0,Audible for iPhone (1000),695,0.0,0.0,Literature & Fiction,Monthly,41,1.5x,40,31 - 60 Books,29,11- 30 Books,Evening,Exercising,Smartphone,Other,False,Download,24,11- 30 Minutes,5,The Arabian Nights (Unabridged),Audible Studios,Suehyla El Attar,True,2,False,False,True
1291,4509,Male,31 - 35 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,3,Late_Evening_Night,2.0,2.0,4.0,Audible for Android,1498,0.0,0.0,Mysteries & Thrillers,Monthly,35,1x,21,11- 30 Books,20,11- 30 Books,Night,Working,Smart Speaker,German,True,Download,99,61 - 100 Minutes,3,The Krishna Key (Unabridged),Audible Studios,Nikesh Patel,True,2,True,True,False
1292,4510,Male,25 - 30 years,Bangalore,IOS,No Tablet,walk,38,9,Morning,8.0,8.0,16.0,Audible for iPhone (1000),241,3.0,7.000000000000001,Parenting & Relationships,Yearly,25,1.75x,58,31 - 60 Books,52,31 - 60 Books,Night,Working,PC,Other,False,Download,118,More than 100 Minutes,3,13 Steps to Bloody Good Luck (Unabridged),Audible Studios,Fajer Al-Kaisi,True,4,False,True,True
1293,4511,Male,25 - 30 years,Pune,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,15,5,Late_Night_Early_Morning,2.0,3.0,5.0,Audible for Android,160,1.0,3.0,Parenting & Relationships,Monthly,51,1.5x,3,Less than 10,20,11- 30 Books,Afternoon,Commuting,PC,German,True,Streaming,94,61 - 100 Minutes,5,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Unabridged),"Blackstone Audio, Inc.",Brian Tracy,True,2,True,True,True
1294,4512,Female,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,90,3,Afternoon_Early_Evening,3.0,3.0,5.0,Audible for Android,292,1.0,2.0,Literature & Fiction,Yearly,8,2x,72,61 - 100 Books,97,61 - 100 Books,Evening,Commuting,Smartphone,French,False,Download,105,More than 100 Minutes,1,The Great Gatsby (Unabridged),Audible Studios,Jake Gyllenhaal,True,5,True,True,True
1295,4514,Male,18 - 24 years,Chennai,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,5,Morning,1.0,1.0,3.0,Audible for Android,164,1.0,2.0,Children's Audiobooks,Monthly,22,1.75x,24,11- 30 Books,67,61 - 100 Books,Afternoon,Relaxing,Tablet,German,False,Streaming,2,Less than 10 Minutes,1,Alice's Adventures in Wonderland (Unabridged),Audible Studios,Scarlett Johansson,False,5,False,False,True
1296,4520,Male,25 - 30 years,Pune,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,5,Late_Night_Early_Morning,71.0,71.0,141.0,Audible for Android,244,28.999999999999996,57.99999999999999,Religion & Spirituality,Per-book,30,1.5x,18,11- 30 Books,35,31 - 60 Books,Morning,Relaxing,Smartphone,Spanish,False,Download,10,Less than 10 Minutes,4,7 Secrets of Shiva. The Hindu Trinity Series (Unabridged),Audible Studios,Sagar Arya,False,1,True,True,False
1297,4524,Male,25 - 30 years,Bangalore,IOS,IOS Tablet,Personal/Hired/Shared 4 Wheeler,38,0,Afternoon_Early_Evening,8.0,6.0,14.0,Audible for iPhone (1000),105,8.0,13.0,Mysteries & Thrillers,Monthly,59,1.5x,15,11- 30 Books,90,61 - 100 Books,Afternoon,Working,PC,Other,True,Download,14,11- 30 Minutes,6,"The Best of Sherlock Holmes, Volume 1 (Dramatised)",Heritage Media Limited,John Gielgud and Ralph Richardson,True,3,True,False,True
1298,4529,Male,18 - 24 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,38,1,Late_Evening_Night,14.0,14.0,29.0,Audible for Android,160,9.0,18.0,Religion & Spirituality,Monthly,52,1.5x,51,31 - 60 Books,63,61 - 100 Books,Evening,Working,PC,Other,True,Download,37,31 - 60 Minutes,2,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,True,3,True,True,False
1299,4530,Male,41 - 45 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,3,Late_Evening_Night,2.0,2.0,5.0,Audible for Android,365,1.0,1.0,Parenting & Relationships,Yearly,8,2x,95,61 - 100 Books,48,31 - 60 Books,Afternoon,Commuting,Tablet,Spanish,True,Download,107,More than 100 Minutes,5,The Power of Your Subconscious Mind,"Big Happy Family, LLC",Jason McCoy,False,1,True,True,True
1300,4531,Female,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 2 Wheeler,15,1,Afternoon_Early_Evening,2.0,2.0,4.0,Audible for Android,352,1.0,1.0,Religion & Spirituality,Monthly,20,1.75x,87,61 - 100 Books,18,11- 30 Books,Afternoon,Working,Smart Speaker,English,False,Streaming,8,Less than 10 Minutes,7,Mere Christianity (Unabridged),"Blackstone Audio, Inc.",Geoffrey Howard,True,3,False,False,True
1301,4532,Female,25 - 30 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,90,3,Late_Evening_Night,2.0,22.0,24.0,Audible for iPhone (1000),57,4.0,42.0,Parenting & Relationships,Yearly,19,1.25x,86,61 - 100 Books,38,31 - 60 Books,Afternoon,Commuting,Tablet,German,True,Download,112,More than 100 Minutes,1,The Joy of Living Dangerously,OSHO International,OSHO,True,1,True,True,True
1302,4533,Male,25 - 30 years,Bangalore,Android,IOS Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Late_Evening_Night,4.0,4.0,8.0,Audible for Android,160,2.0,5.0,Parenting & Relationships,Per-book,17,1.75x,75,61 - 100 Books,53,31 - 60 Books,Morning,Exercising,Smart Speaker,Other,True,Download,7,Less than 10 Minutes,9,Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time (Unabridged),"Blackstone Audio, Inc.",Brian Tracy,True,5,True,True,False
1303,4534,Male,25 - 30 years,Bangalore,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,5,Morning,1.0,1.0,2.0,Audible for Android,1498,0.0,0.0,Mysteries & Thrillers,Yearly,35,1.5x,92,61 - 100 Books,21,11- 30 Books,Night,Exercising,Smartphone,Spanish,False,Streaming,53,31 - 60 Minutes,5,The Krishna Key (Unabridged),Audible Studios,Nikesh Patel,True,4,True,True,False
1304,4536,Female,25 - 30 years,Hyderabad,Android,No Tablet,Personal/Hired/Shared 4 Wheeler,38,5,Late_Night_Early_Morning,30.0,26.0,57.0,Audible for Android,704,4.0,8.0,Literature & Fiction,Monthly,44,1.75x,37,31 - 60 Books,91,61 - 100 Books,Evening,Commuting,Tablet,Spanish,False,Streaming,72,61 - 100 Minutes,5,Confessions of a Shopaholic (Unabridged),Recorded Books,Emily Gray,False,2,True,True,False
1305,4541,Male,41 - 45 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Late_Evening_Night,26.0,26.0,52.0,Audible for iPhone (1000),136,19.0,38.0,Literature & Fiction,Per-book,10,2x,75,61 - 100 Books,68,61 - 100 Books,Evening,Relaxing,Smartphone,French,False,Streaming,80,61 - 100 Minutes,3,The Diary of a Wimpy Kid: The Last Straw (Unabridged),Recorded Books,Ramon De Ocampo,False,3,False,False,True
1306,4543,Male,36 - 40 years,Bangalore,Both,IOS Tablet,Personal/Hired/Shared 4 Wheeler,90,13,Afternoon_Early_Evening,0.0,0.0,1.0,Audible for Android,136,0.0,1.0,Literature & Fiction,Monthly,5,1.25x,6,Less than 10,19,11- 30 Books,Morning,Commuting,Smartphone,Spanish,True,Download,33,31 - 60 Minutes,7,The Diary of a Wimpy Kid: The Last Straw (Unabridged),Recorded Books,Ramon De Ocampo,True,4,True,False,False
1307,4553,Female,25 - 30 years,Bangalore,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Late_Evening_Night,7.0,7.0,14.0,Audible for iPhone (1000),160,4.0,9.0,Religion & Spirituality,Yearly,13,1.25x,4,Less than 10,57,31 - 60 Books,Night,Working,PC,Other,False,Download,87,61 - 100 Minutes,1,The Monk Who Sold His Ferrari,"Sharma Leadership International, Inc.",Robin Sharma,False,3,True,False,False
1308,4557,Male,18 - 24 years,Chennai,Android,Android Tablet,Personal/Hired/Shared 4 Wheeler,38,9,Late_Evening_Night,1.0,1.0,1.0,Audible for Android,209,0.0,0.0,Parenting & Relationships,Monthly,36,1.25x,9,Less than 10,42,31 - 60 Books,Morning,Commuting,PC,Other,True,Streaming,20,11- 30 Minutes,7,Peace Is Every Step: The Path of Mindfulness in Everyday Life (Unabridged),"Blackstone Audio, Inc.",Edoardo Ballerini,True,2,False,False,False
1309,4561,Male,41 - 45 years,Hyderabad,IOS,No Tablet,Personal/Hired/Shared 4 Wheeler,38,13,Morning,10.0,10.0,20.0,Audible for iPhone (1000),691,1.0,3.0,Biographies & Memoirs,Per-book,21,1.5x,97,61 - 100 Books,35,31 - 60 Books,Morning,Exercising,PC,Spanish,True,Streaming,86,61 - 100 Minutes,5,"Surely You're Joking, Mr. Feynman! (Unabridged)","Blackstone Audio, Inc.",Raymond Todd,False,2,True,False,False
1310,4567,Male,31 - 35 years,Bangalore,Both,No Tablet,Personal/Hired/Shared 4 Wheeler,90,3,Afternoon_Early_Evening,27.0,39.0,66.0,Audible for iPhone (1000),474,6.0,14.000000000000002,Lifestyle,Yearly,46,1.5x,22,11- 30 Books,96,61 - 100 Books,Evening,Exercising,Smart Speaker,Spanish,False,Download,44,31 - 60 Minutes,4,"Dont Lose Out, Work Out! (Unabridged)",Audible Studios,Farah Bala,False,4,True,True,True
1311,4569,Male,31 - 35 years,Bangalore,Both,No Tablet,Public Transport,38,13,Morning,6.0,7.0,13.0,Audible for Android,153,4.0,8.0,Literature & Fiction,Yearly,36,2x,81,61 - 100 Books,68,61 - 100 Books,Night,Commuting,Smartphone,German,False,Download,82,61 - 100 Minutes,6,Dr. Maniac vs. Robby Schwartz: Goosebumps HorrorLand #5 (Unabridged),Scholastic Audio,Marc Thompson,False,2,True,True,False
